N Uzumaki#2210191864082;0841833472#31;180.00;2015/09/14
S Haruno#4908135746085;0845422985#24;757.69;2015/08/2
S Uchiha#5010204334080;0847849811#37;456.41;2015/09/2
H Hyuuga#6606171571088;0848784226#462;348.60;2015/08/19
A Sarutobi#6603261852087;0845455263#1414;940.55;2015/7/21
M Namikaze#1812195385081;0847522163#4811;756.17;2015/7/20
S Nara#7707044221082;0843105265#4298;1520.47;2015/7/11
I Yamanaka#5909064746088;0849176351#93;4438.27;2015/9/10
G Subaku no#6501033048088;0848614139#2611;3714.22;2015/7/21
I Uchiha#5708063348082;0841525580#2474;652.50;2015/8/14
K Hatake#8707192278089;0844501539#4834;3706.02;2015/8/10
M Gai#9412174915081;0841877674#1860;2515.00;2015/7/15
N Hyuuga#4808114575081;0843029007#3649;199.56;2015/7/26
R Lee#2511140923086;0840138762#3217;864.81;2015/8/16
R Nohara#6606198878087;0843475353#126;1660.73;2015/7/22
H Senju#7609170505088;0847625805#2185;2900.81;2015/8/6
K Bee#1703087532084;0847891485#4602;1775.55;2015/8/26
I Hellsing#504038467085;0841003524#2369;3854.46#2015/9/17
I Kurosaki#2910258764082;0842767147#3172;3612.51#2015/7/2
I Orihime#610155019086;0842957682#3774;2580.77#2015/8/8
S Yasutora#202261471083;0844730679#2010;1020.58#2015/9/23
Y Shihouin#2802074605082;0840898657#2805;4316.14#2015/7/25
R Kuchiki#6105251985080;0842774012#3132;2935.62#2015/8/13
Z Kenpachi#8105246665081;0842146095#3445;1189.75#2015/7/22
S Yamamoto#5301113263083;0842363468#3655;1146.83#2015/8/24
A Shuuske#5402208736085;0848101735#214;2841.53#2015/9/8
A Souske#5501174481084;0841432413#4846;281.36#2015/9/17
K Uruhara#202080475086;0845544221#2745;231.88#2015/7/19
M Kurotsuchi#2702097353086;0844428018#1379;4093.87#2015/7/26
T Hitsugaya#8409266542084;0849290431#4159;1289.27#2015/7/16
J Ukitake#601166151085;0849743355#1589;845.20#2015/9/20
G Jaggerjacques#6611139175088;0841625831#1219;875.12#2015/9/3
NT Odershvank#1309057936081;0846213274#409;1571.15#2015/7/20
L Yagami#1408195137087;0846128747#4894;1920.53#2015/7/5
L Lamperougue#4805268840083;0847773155#2128;4281.20#2015/7/12
K Suzaku#6510246073082;0841756412#4502;1855.66#2015/9/24
E vi Brittania#2411268556088;0841676225#4514;3695.47#2015/9/18
R Singer#1810235794088;0844832663#59;2286.67#2015/7/19
D Winchester#2101041418080;0847517545#918;3584.23#2015/9/11
O Queen#4110235137085;0843222307#3640;1531.53#2015/7/18
F Smoak#8410225355083;0848315339#2270;382.42#2015/9/16
J Diggle#9410066666082;0844731575#894;4187.99#2015/7/3
R Harper#8310071638085;0846615988#722;3726.25#2015/7/11
L Lance#908190483080;0844632616#157;4536.14#2015/8/14
B Allen#1210127981080;0848151312#883;1319.35#2015/9/15
C Snow#9403187466086;0846661542#4616;2762.28#2015/8/24
C Ramone#6604233601089;0841346967#19;955.07#2015/9/5
H Wells#1702152246088;0847117974#3443;3799.52#2015/7/27
R Raymon#9805134743082;0843650955#262;1173.09#2015/9/16
E Elric#5411116116085;0845423584#2927;906.97#2015/8/4
R Mustang#2204193435081;0845244112#3315;3442.11#2015/9/8
R Hawkeye#9402131381080;0846850327#2957;2929.12#2015/7/27
M Hughes#3402218445081;0843284588#1546;2666.72#2015/9/7
W Rockbell#6408207303081;0842534578#1416;4790.90#2015/9/23
R Thurston#4404058043080;0848845283#878;3400.63#2015/7/20
G Ichimaru#6410236371081;0844402329#2611;2071.37#2015/7/17
K Tousen#5410139524082;0845482984#842;1297.53#2015/9/24
S Feng#9802100798082;0844515819#777;3169.26#2015/9/14
U Ishida#3911104863084;0846597510#474;4886.28#2015/7/12
G Shiba#2408173111086;0842576556#3442;2411.93#2015/7/4
